"","Datos","Duplicated","% duplicated","Errors","% errors","Values out 4 DEV","NA's","% NA's","Date duplicated Different values","Greater Gap"
"21045010_RAIN",3287,0,0,0,0,20,136,4.14,0,135
"21045010_RHUM",3287,0,0,0,0,2,662,20.14,0,134
"21045010_TMAX",3287,0,0,0,0,3,286,8.7,0,134
"21045010_TMIN",3287,0,0,0,0,9,973,29.6,0,182
"21060070_RAIN",3287,0,0,0,0,15,0,0,0,1
"21105040_RAIN",3287,0,0,0,0,19,356,10.83,0,102
"21105040_RHUM",3195,0,0,0,0,0,976,30.55,0,197
"21105040_TMAX",2250,0,0,0,0,2,737,32.76,0,611
"21105040_TMIN",3073,0,0,0,0,21,1087,35.37,0,366
