"","Dim.1","Dim.2","Dim.3"
"Santander-CCN 51 -1",0.648749064447438,0.000355054083539065,0.0523128906596943
"Santander-CCN 51 -2",0.758742607167922,0.00188267773614522,0.023534666516574
"Santander-CCN 51 -3",0.729176700151609,0.00179887340787535,0.0359316799711713
"Santander-FEAR 5-1",0.219258395186813,0.0935732528637793,0.268988612332196
"Santander-FEAR 5-2",0.141041369948088,0.16525541303621,0.255162775649539
"Santander-FEAR 5-3",0.158491092770145,0.154717701568477,0.319707803279677
"Santander-FEC 2-1",0.349015313226387,0.00719733948831117,0.0417405530824722
"Santander-FEC 2-2",0.295313484983407,0.0076513125326945,0.0598707753583043
"Santander-FEC 2-3",0.353985865831019,0.00942938782332692,0.0408202185204678
"Santander-FLE 3-1",0.436407917581029,0.348501880691018,0.00174157998413214
"Santander-FLE 3-2",0.521685967700973,0.300689630562443,0.000000000135508078378978
"Santander-FLE 3-3",0.54485902239097,0.277581066580196,0.000308547271719875
"Santander-FSA 12-1",0.252773085783537,0.435243037760206,0.0874696398401941
"Santander-FSA 12-2",0.195451022417652,0.377110435257884,0.0859729481204572
"Santander-FSA 12-3",0.161068393667633,0.415762521590542,0.0694041938062856
"Santander-FSV 41 -1",0.522251649487446,0.129134270473045,0.0848110179709952
"Santander-FSV 41 -2",0.657194340489069,0.118019206266253,0.0987685936712195
"Santander-FSV 41 -3",0.676876056651299,0.0948972008779305,0.0797369206773845
"Santander-ICS 95-1",0.360364146967826,0.384313779005045,0.0512916332922266
"Santander-ICS 95-2",0.397124254008443,0.419010406968722,0.0489929651786843
"Santander-ICS 95-3",0.353463859681964,0.44166249565795,0.0498033483462854
"Santander-SCC 23-1",0.288752349969575,0.169695826648122,0.0145392383485974
"Santander-SCC 23-2",0.52462691364578,0.173893555734461,0.0143455660977128
"Santander-SCC 23-3",0.468622572555831,0.164311313256501,0.00505319406158468
"Santander-SCC 55-1",0.696417259833784,0.044415780957974,0.0515890535666099
"Santander-SCC 55-2",0.698272286516116,0.061872784422567,0.0629218676802711
"Santander-SCC 55-3",0.633558292891255,0.0624403053468887,0.0628614924390472
"Santander-SCC 80-1",0.618716758778218,0.0192513818862347,0.101834513404723
"Santander-SCC 80-2",0.547142005571939,0.0426776031668912,0.142349603136396
"Santander-SCC 80-3",0.660491997144682,0.0309205384643489,0.135363383193856
"Huila-CCN 51 -1",0.175297255672309,0.0010952098440918,0.0956507331566539
"Huila-CCN 51 -2",0.0787993354795394,0.00326409931932856,0.183635334742859
"Huila-CCN 51 -3",0.108639008755891,0.000887313266276829,0.172870229291714
"Huila-FEAR 5-1",0.0457377206517226,0.0207403183816879,0.0876513229505037
"Huila-FEAR 5-2",0.0106818177264813,0.0134178341015469,0.0876757025386326
"Huila-FEAR 5-3",0.0320059763254502,0.0103152922392026,0.0628381334125988
"Huila-FEC 2-1",0.193849356059724,0.0736740031985319,0.000246675597997634
"Huila-FEC 2-2",0.131506252606779,0.128436104828106,0.00180088997749629
"Huila-FEC 2-3",0.144171190964167,0.104892516389928,0.00236532539641274
"Huila-FLE 3-1",0.267588221143116,0.0988446499355831,0.0323715095168322
"Huila-FLE 3-2",0.235756322927656,0.0298561741906582,0.0331336888754459
"Huila-FLE 3-3",0.215169371283484,0.0582075000442462,0.0410684645143372
"Huila-FSA 12-1",0.276058610249333,0.00567726619447522,0.408651105803671
"Huila-FSA 12-2",0.199705707130223,0.00149748114061602,0.357930445222892
"Huila-FSA 12-3",0.225696507522714,0.00156693625048009,0.395254866897767
"Huila-FSV 41 -1",0.00487090368133979,0.492815266525726,0.034324186012766
"Huila-FSV 41 -2",0.00629613287911036,0.569901854092192,0.0517819373846354
"Huila-FSV 41 -3",0.0190554568836381,0.576753257112201,0.0463959106015274
"Huila-ICS 95-1",0.00122071018843871,0.530293226587762,0.109782118837181
"Huila-ICS 95-2",0.0138021094282605,0.518946283528533,0.0936179168524035
"Huila-ICS 95-3",0.00129310526462503,0.53107526139653,0.112828101272597
"Huila-SCC 23-1",0.365567077500331,0.0132648886742031,0.285830637074973
"Huila-SCC 23-2",0.241285656499795,0.0145255066430294,0.493830184367538
"Huila-SCC 23-3",0.327975837236181,0.0142005991076836,0.485436889736981
"Huila-SCC 55-1",0.111166811304217,0.0541645323476901,0.260568770937869
"Huila-SCC 55-2",0.20136309117242,0.0531322827557084,0.23864545844445
"Huila-SCC 55-3",0.203921658770573,0.0566535094928256,0.238754939106511
"Huila-SCC 80-1",0.0835174492960265,0.211757534585352,0.323462284126149
"Huila-SCC 80-2",0.075095334168663,0.193313389963741,0.328588968577532
"Huila-SCC 80-3",0.127903726324578,0.132835852535859,0.193843416304375
"Arauca-CCN 51 -1",0.306924684413055,0.0210086732055722,0.194426259465236
"Arauca-CCN 51 -2",0.319417857891423,0.0255626162774222,0.18758544074157
"Arauca-CCN 51 -3",0.320092686394593,0.0334669886454183,0.195085919454925
"Arauca-FEAR 5-1",0.519257967514021,0.0755609913239265,0.204377457549272
"Arauca-FEAR 5-2",0.539955189845227,0.0601222111758746,0.219319558892807
"Arauca-FEAR 5-3",0.45280804851834,0.0731904425603072,0.223872620566035
"Arauca-FEC 2-1",0.135382012120515,0.000709913332260416,0.505436077291488
"Arauca-FEC 2-2",0.208408798656963,0.0000209671861746096,0.478393157765147
"Arauca-FEC 2-3",0.0842091371772677,0.00223312243139378,0.410342859225361
"Arauca-FLE 3-1",0.114150432726796,0.231539796207838,0.275893019806294
"Arauca-FLE 3-2",0.0969538438304726,0.253940363539214,0.225453006014411
"Arauca-FLE 3-3",0.110526082400861,0.230337536244748,0.264278035853109
"Arauca-FSA 12-1",0.0522023340766879,0.268669954743528,0.0892515205937977
"Arauca-FSA 12-2",0.0587763294574002,0.259761043606544,0.102856117900584
"Arauca-FSA 12-3",0.0928817694340699,0.283905086900128,0.11270628292623
"Arauca-FSV 41 -1",0.00132028101769763,0.246861573868107,0.523548696878966
"Arauca-FSV 41 -2",0.000801704649856011,0.26519388477762,0.507639153746061
"Arauca-FSV 41 -3",0.00046882969366449,0.243148570849201,0.521656939905234
"Arauca-ICS 95-1",0.432724078985534,0.343656052430379,0.0087754679676006
"Arauca-ICS 95-2",0.393051742018099,0.381888886706404,0.0155693866211159
"Arauca-ICS 95-3",0.391274858882935,0.398293027937587,0.0170884673215545
"Arauca-SCC 23-1",0.00154957597826742,0.637452035424704,0.00810637731684377
"Arauca-SCC 23-2",0.00101110788416331,0.6538141261087,0.0136563685795311
"Arauca-SCC 23-3",0.00188090838167768,0.627825203020556,0.0078251812270366
"Arauca-SCC 55-1",0.439984949296652,0.0351025071588685,0.134115524711689
"Arauca-SCC 55-2",0.426487132696438,0.0387322824482237,0.173878986490066
"Arauca-SCC 55-3",0.45536245904949,0.0403226259801145,0.153862357971842
"Arauca-SCC 80-1",0.534306128246435,0.131953522359114,0.0440590118060051
"Arauca-SCC 80-2",0.536637611493973,0.207541937897168,0.0556149996203282
"Arauca-SCC 80-3",0.484732907155271,0.203741532154345,0.0512935255237977
