"","Decada 1","Decada 2","Decada 3","Decada 4","Decada 5","Decada 6"
"pendiente",NA,0.358675836641783,0.0682493916207842,0.084917949245799,0.152069635271154,0.965169014617478
"ancho_banca",NA,0.112740121223344,0.0253095802086241,0.0304248608457955,0.0256337303555216,0.0253490498061395
"sinuosidad",0.725690923493099,0.93737834590472,0.598753621935019,0.820863653620341,0.998070891953516,0.916263312844082
"amp_meandros",0.536530345065713,0.299932533888351,0.891152557545269,0.805777834324237,0.797857504452962,0.815432984421138
"long_meandros",0.00799350564012524,0.0644941721047216,0.00816502516028428,0.00852136543942605,0.00768842513096857,0.00591398687179634
"t_movilidad",0.608221904124579,0.377228458862717,0.848353028609195,0.89308981636093,0.332116881373028,0.335709447816644
"t_movilidad_max",0.917795533971721,0.33493944588546,0.472314259211991,0.409378310510467,0.257005928411397,0.390716546859008
"caudal_medio",NA,0.00593584806723468,0.00622467608040322,0.00773605771090513,0.00669456087457565,0.00801077804603501
"caudal_maximo",NA,0.0184519266184611,0.0070864082993003,0.00615649734401535,0.00791181389219009,0.010015058239718
"caudal_50",NA,0.0161905265169999,0.00636863061680248,0.00597167898481521,0.00923362832988284,0.00839929189502175
"caudal_banca",NA,0.0130116505575339,0.0230504338507413,0.0236091183072447,0.0236434784232951,0.0245924432773357
"velocidad",NA,0.893298197328059,0.877067914666483,0.759513132981659,0.758031764417896,0.847865733945106
"ancho_superficial",NA,0.543075091420962,0.494626152541161,0.236452105399196,0.321578056217017,0.323718923725536
"diametro_promedio",0.243298403968099,0.243298403968099,0.243298403968099,0.128804304319234,0.128804304319234,0.128804304319234
"dev_granulometrica",0.539665254812986,0.539665254812986,0.539665254812986,0.344877942481264,0.344877942481264,0.344877942481264
"coef_uniformidad",0.171435132551944,0.171435132551944,0.171435132551944,0.118163633184409,0.118163633184409,0.118163633184409
"carga_media",NA,0.368093895258121,0.86626689766537,0.0108038407292168,0.013482123927977,0.0132101488692657
